attribute,absFrequency,relFrequency
MENDOZA,86,0.00043
MORENO,86,0.00043
BOWMAN,86,0.00043
MEDINA,84,0.00042
FOWLER,84,0.00042
BREWER,84,0.00042
HOFFMAN,84,0.00042
CARLSON,84,0.00042
SILVA,84,0.00042
PEARSON,84,0.00042
HOLLAND,84,0.00042
DOUGLAS,82,0.00041
FLEMING,82,0.00041
JENSEN,82,0.00041
VARGAS,82,0.00041
BYRD,82,0.00041
DAVIDSON,82,0.00041
HOPKINS,82,0.00041
MAY,80,0.0004
TERRY,80,0.0004
HERRERA,80,0.0004
WADE,80,0.0004
SOTO,80,0.0004
WALTERS,80,0.0004
CURTIS,80,0.0004
NEAL,78,0.00039
CALDWELL,78,0.00039
LOWE,78,0.00039
JENNINGS,78,0.00039
BARNETT,78,0.00039
GRAVES,78,0.00039
JIMENEZ,78,0.00039
HORTON,78,0.00039
SHELTON,78,0.00039
BARRETT,78,0.00039
OBRIEN,78,0.00039
CASTRO,78,0.00039
SUTTON,76,0.00038
GREGORY,76,0.00038
MCKINNEY,76,0.00038
LUCAS,76,0.00038
MILES,76,0.00038
CRAIG,76,0.00038
RODRIQUEZ,74,0.00037
CHAMBERS,74,0.00037
HOLT,74,0.00037
LAMBERT,74,0.00037
FLETCHER,74,0.00037
WATTS,74,0.00037
BATES,74,0.00037
HALE,74,0.00037
RHODES,74,0.00037
PENA,74,0.00037
BECK,74,0.00037
NEWMAN,72,0.00036
HAYNES,72,0.00036
MCDANIEL,72,0.00036
MENDEZ,72,0.00036
BUSH,72,0.00036
VAUGHN,72,0.00036
PARKS,70,0.00035
DAWSON,70,0.00035
SANTIAGO,70,0.00035
NORRIS,70,0.00035
HARDY,70,0.00035
LOVE,70,0.00035
STEELE,70,0.00035
CURRY,70,0.00035
POWERS,70,0.00035
SCHULTZ,70,0.00035
BARKER,70,0.00035
GUZMAN,68,0.00034
PAGE,68,0.00034
MUNOZ,68,0.00034
BALL,68,0.00034
KELLER,68,0.00034
CHANDLER,68,0.00034
WEBER,68,0.00034
LEONARD,68,0.00034
WALSH,66,0.00033
LYONS,66,0.00033
RAMSEY,66,0.00033
WOLFE,66,0.00033
SCHNEIDER,66,0.00033
MULLINS,66,0.00033
BENSON,66,0.00033
SHARP,66,0.00033
BOWEN,66,0.00033
DANIEL,66,0.00033
BARBER,64,0.00032
CUMMINGS,64,0.00032
HINES,64,0.00032
BALDWIN,64,0.00032
GRIFFITH,64,0.00032
VALDEZ,64,0.00032
HUBBARD,64,0.00032
SALAZAR,64,0.00032
REEVES,64,0.00032
WARNER,62,0.00031
STEVENSON,62,0.00031
BURGESS,62,0.00031
SANTOS,62,0.00031
TATE,62,0.00031
CROSS,62,0.00031
GARNER,62,0.00031
MANN,62,0.00031
MACK,62,0.00031
MOSS,62,0.00031
THORNTON,62,0.00031
DENNIS,62,0.00031
MCGEE,62,0.00031
FARMER,60,0.0003
DELGADO,60,0.0003
AGUILAR,60,0.0003
VEGA,60,0.0003
GLOVER,60,0.0003
MANNING,60,0.0003
COHEN,60,0.0003
HARMON,60,0.0003
RODGERS,60,0.0003
ROBBINS,60,0.0003
NEWTON,60,0.0003
TODD,60,0.0003
BLAIR,60,0.0003
HIGGINS,60,0.0003
INGRAM,60,0.0003
REESE,60,0.0003
CANNON,60,0.0003
STRICKLAND,60,0.0003
TOWNSEND,60,0.0003
POTTER,60,0.0003
GOODWIN,60,0.0003
WALTON,60,0.0003
ROWE,58,0.00029
HAMPTON,58,0.00029
ORTEGA,58,0.00029
PATTON,58,0.00029
SWANSON,58,0.00029
JOSEPH,58,0.00029
FRANCIS,58,0.00029
GOODMAN,58,0.00029
MALDONADO,58,0.00029
YATES,58,0.00029
BECKER,58,0.00029
ERICKSON,58,0.00029
HODGES,58,0.00029
RIOS,58,0.00029
CONNER,58,0.00029
ADKINS,58,0.00029
WEBSTER,56,0.00028
NORMAN,56,0.00028
MALONE,56,0.00028
HAMMOND,56,0.00028
FLOWERS,56,0.00028
COBB,56,0.00028
MOODY,56,0.00028
QUINN,56,0.00028
BLAKE,56,0.00028
MAXWELL,56,0.00028
POPE,56,0.00028
FLOYD,54,0.00027
OSBORNE,54,0.00027
PAUL,54,0.00027
MCCARTHY,54,0.00027
GUERRERO,54,0.00027
LINDSEY,54,0.00027
ESTRADA,54,0.00027
SANDOVAL,54,0.00027
GIBBS,54,0.00027
TYLER,54,0.00027
GROSS,54,0.00027
FITZGERALD,54,0.00027
STOKES,54,0.00027
DOYLE,54,0.00027
SHERMAN,54,0.00027
SAUNDERS,54,0.00027
WISE,54,0.00027
COLON,54,0.00027
GILL,54,0.00027
ALVARADO,54,0.00027
GREER,52,0.00026
PADILLA,52,0.00026
SIMON,52,0.00026
WATERS,52,0.00026
NUNEZ,52,0.00026
BALLARD,52,0.00026
SCHWARTZ,52,0.00026
MCBRIDE,52,0.00026
HOUSTON,52,0.00026
CHRISTENSEN,52,0.00026
KLEIN,52,0.00026
PRATT,52,0.00026
BRIGGS,52,0.00026
PARSONS,52,0.00026
MCLAUGHLIN,52,0.00026
ZIMMERMAN,52,0.00026
FRENCH,52,0.00026
BUCHANAN,52,0.00026
MORAN,52,0.00026
COPELAND,50,0.00025
ROY,50,0.00025
PITTMAN,50,0.00025
BRADY,50,0.00025
MCCORMICK,50,0.00025
HOLLOWAY,50,0.00025
BROCK,50,0.00025
POOLE,50,0.00025
FRANK,50,0.00025
LOGAN,50,0.00025
OWEN,50,0.00025
BASS,50,0.00025
MARSH,50,0.00025
DRAKE,50,0.00025
WONG,50,0.00025
JEFFERSON,50,0.00025
PARK,50,0.00025
MORTON,50,0.00025
ABBOTT,50,0.00025
SPARKS,50,0.00025
PATRICK,48,0.00024
NORTON,48,0.00024
HUFF,48,0.00024
CLAYTON,48,0.00024
MASSEY,48,0.00024
LLOYD,48,0.00024
FIGUEROA,48,0.00024
CARSON,48,0.00024
BOWERS,48,0.00024
ROBERSON,48,0.00024
BARTON,48,0.00024
TRAN,48,0.00024
LAMB,48,0.00024
HARRINGTON,48,0.00024
CASEY,48,0.00024
BOONE,48,0.00024
CORTEZ,48,0.00024
CLARKE,48,0.00024
MATHIS,48,0.00024
SINGLETON,48,0.00024
WILKINS,48,0.00024
CAIN,48,0.00024
BRYAN,48,0.00024
UNDERWOOD,48,0.00024
HOGAN,48,0.00024
MCKENZIE,46,0.00023
COLLIER,46,0.00023
LUNA,46,0.00023
PHELPS,46,0.00023
MCGUIRE,46,0.00023
ALLISON,46,0.00023
BRIDGES,46,0.00023
WILKERSON,46,0.00023
NASH,46,0.00023
SUMMERS,46,0.00023
ATKINS,46,0.00023
WILCOX,46,0.00023
PITTS,46,0.00023
CONLEY,46,0.00023
MARQUEZ,46,0.00023
BURNETT,46,0.00023
RICHARD,46,0.00023
COCHRAN,46,0.00023
CHASE,46,0.00023
DAVENPORT,46,0.00023
HOOD,46,0.00023
GATES,46,0.00023
CLAY,46,0.00023
AYALA,46,0.00023
SAWYER,46,0.00023
ROMAN,46,0.00023
VAZQUEZ,46,0.00023
DICKERSON,46,0.00023
HODGE,44,0.00022
ACOSTA,44,0.00022
FLYNN,44,0.00022
ESPINOZA,44,0.00022
NICHOLSON,44,0.00022
MONROE,44,0.00022
WOLF,44,0.00022
MORROW,44,0.00022
KIRK,44,0.00022
RANDALL,44,0.00022
ANTHONY,44,0.00022
WHITAKER,44,0.00022
OCONNOR,44,0.00022
SKINNER,44,0.00022
WARE,44,0.00022
MOLINA,44,0.00022
KIRBY,44,0.00022
HUFFMAN,44,0.00022
BRADFORD,44,0.00022
CHARLES,44,0.00022
GILMORE,44,0.00022
DOMINGUEZ,44,0.00022
ONEAL,44,0.00022
BRUCE,44,0.00022
LANG,42,0.00021
COMBS,42,0.00021
KRAMER,42,0.00021
HEATH,42,0.00021
HANCOCK,42,0.00021
GALLAGHER,42,0.00021
GAINES,42,0.00021
SHAFFER,42,0.00021
SHORT,42,0.00021
WIGGINS,42,0.00021
MATHEWS,42,0.00021
MCCLAIN,42,0.00021
FISCHER,42,0.00021
WALL,42,0.00021
SMALL,42,0.00021
MELTON,42,0.00021
HENSLEY,42,0.00021
BOND,42,0.00021
DYER,42,0.00021
CAMERON,42,0.00021
GRIMES,42,0.00021
CONTRERAS,42,0.00021
CHRISTIAN,42,0.00021
WYATT,42,0.00021
BAXTER,42,0.00021
SNOW,42,0.00021
MOSLEY,42,0.00021
SHEPHERD,42,0.00021
LARSEN,42,0.00021
HOOVER,42,0.00021
BEASLEY,40,0.0002
GLENN,40,0.0002
PETERSEN,40,0.0002
WHITEHEAD,40,0.0002
MEYERS,40,0.0002
KEITH,40,0.0002
GARRISON,40,0.0002
VINCENT,40,0.0002
