attribute,absFrequency,relFrequency
ESTHER,166,0.00083
JEFFERY,166,0.00083
TRAVIS,166,0.00083
JEFF,166,0.00083
PAULINE,165,0.000825
EMMA,165,0.000825
CHAD,165,0.000825
JACOB,165,0.000825
JUANITA,164,0.00082
ANITA,162,0.00081
RHONDA,162,0.00081
LEE,162,0.00081
MELVIN,162,0.00081
ALFRED,162,0.00081
HAZEL,161,0.000805
AMBER,160,0.0008
KYLE,160,0.0008
FRANCIS,160,0.0008
EVA,159,0.000795
BRADLEY,159,0.000795
DEBBIE,157,0.000785
JESUS,155,0.000775
HERBERT,155,0.000775
APRIL,154,0.00077
LESLIE,154,0.00077
FREDERICK,154,0.00077
CLARA,153,0.000765
LUCILLE,153,0.000765
JAMIE,153,0.000765
RAY,153,0.000765
JOEL,152,0.00076
JOANNE,150,0.00075
ELEANOR,150,0.00075
VALERIE,149,0.000745
DANIELLE,149,0.000745
EDWIN,148,0.00074
MEGAN,147,0.000735
ALICIA,146,0.00073
SUZANNE,145,0.000725
MICHELE,145,0.000725
GAIL,145,0.000725
DON,145,0.000725
EDDIE,144,0.00072
BERTHA,143,0.000715
DARLENE,142,0.00071
VERONICA,142,0.00071
JILL,142,0.00071
ERIN,141,0.000705
GERALDINE,141,0.000705
RICKY,141,0.000705
TROY,138,0.00069
RANDALL,138,0.00069
LAUREN,137,0.000685
CATHY,137,0.000685
JOANN,136,0.00068
LORRAINE,135,0.000675
LYNN,135,0.000675
SALLY,135,0.000675
BARRY,134,0.00067
REGINA,133,0.000665
ALEXANDER,132,0.00066
ERICA,130,0.00065
BEATRICE,130,0.00065
DOLORES,129,0.000645
BERNICE,128,0.00064
AUDREY,127,0.000635
BERNARD,127,0.000635
YVONNE,126,0.00063
ANNETTE,125,0.000625
JUNE,125,0.000625
MARIO,125,0.000625
LEROY,125,0.000625
SAMANTHA,124,0.00062
FRANCISCO,124,0.00062
MARCUS,124,0.00062
MICHEAL,123,0.000615
THEODORE,123,0.000615
CLIFFORD,123,0.000615
MARION,122,0.00061
DANA,122,0.00061
MIGUEL,122,0.00061
OSCAR,122,0.00061
STACY,121,0.000605
ANA,120,0.0006
RENEE,120,0.0006
IDA,118,0.00059
VIVIAN,118,0.00059
JAY,118,0.00059
JIM,118,0.00059
ROBERTA,117,0.000585
HOLLY,117,0.000585
BRITTANY,117,0.000585
TOM,117,0.000585
MELANIE,116,0.00058
LORETTA,115,0.000575
YOLANDA,115,0.000575
JEANETTE,115,0.000575
CALVIN,115,0.000575
ALEX,115,0.000575
JON,115,0.000575
LAURIE,114,0.00057
KATIE,113,0.000565
RONNIE,113,0.000565
BILL,112,0.00056
LLOYD,112,0.00056
TOMMY,112,0.00056
LEON,112,0.00056
DEREK,112,0.00056
KRISTEN,111,0.000555
VANESSA,111,0.000555
ALMA,111,0.000555
SUE,111,0.000555
ELSIE,110,0.00055
BETH,110,0.00055
WARREN,110,0.00055
JEANNE,109,0.000545
VICKI,109,0.000545
DARRELL,108,0.00054
JEROME,108,0.00054
CARLA,107,0.000535
TARA,107,0.000535
ROSEMARY,107,0.000535
FLOYD,107,0.000535
LEO,106,0.00053
EILEEN,105,0.000525
TERRI,105,0.000525
ALVIN,105,0.000525
TIM,104,0.00052
WESLEY,104,0.00052
GORDON,104,0.00052
DEAN,104,0.00052
GREG,104,0.00052
JORGE,104,0.00052
GERTRUDE,103,0.000515
LUCY,103,0.000515
DUSTIN,103,0.000515
PEDRO,103,0.000515
DERRICK,103,0.000515
TONYA,102,0.00051
ELLA,101,0.000505
STACEY,101,0.000505
DAN,101,0.000505
WILMA,99,0.000495
GINA,99,0.000495
KRISTIN,99,0.000495
LEWIS,99,0.000495
ZACHARY,99,0.000495
JESSIE,98,0.00049
NATALIE,98,0.00049
AGNES,98,0.00049
VERA,98,0.00049
COREY,98,0.00049
WILLIE,97,0.000485
CHARLENE,97,0.000485
HERMAN,97,0.000485
MAURICE,97,0.000485
VERNON,97,0.000485
ROBERTO,97,0.000485
BESSIE,96,0.00048
DELORES,95,0.000475
CLYDE,95,0.000475
MELINDA,94,0.00047
PEARL,94,0.00047
ARLENE,94,0.00047
GLEN,94,0.00047
HECTOR,94,0.00047
SHANE,93,0.000465
RICARDO,93,0.000465
MAUREEN,92,0.00046
COLLEEN,92,0.00046
ALLISON,92,0.00046
TAMARA,92,0.00046
SAM,92,0.00046
JOY,91,0.000455
GEORGIA,91,0.000455
CONSTANCE,91,0.000455
RICK,91,0.000455
LESTER,91,0.000455
LILLIE,90,0.00045
CLAUDIA,90,0.00045
JACKIE,90,0.00045
MARCIA,90,0.00045
BRENT,90,0.00045
RAMON,90,0.00045
CHARLIE,90,0.00045
TANYA,89,0.000445
NELLIE,89,0.000445
MINNIE,89,0.000445
TYLER,89,0.000445
GILBERT,89,0.000445
MARLENE,88,0.00044
HEIDI,88,0.00044
GLENDA,88,0.00044
GENE,87,0.000435
MARC,87,0.000435
LYDIA,86,0.00043
VIOLA,86,0.00043
COURTNEY,86,0.00043
MARIAN,86,0.00043
STELLA,85,0.000425
CAROLINE,85,0.000425
DORA,84,0.00042
REGINALD,84,0.00042
JO,83,0.000415
VICKIE,82,0.00041
RUBEN,82,0.00041
BRETT,82,0.00041
ANGEL,82,0.00041
MATTIE,81,0.000405
NATHANIEL,81,0.000405
RAFAEL,81,0.000405
LESLIE,81,0.000405
TERRY,80,0.0004
EDGAR,80,0.0004
MILTON,80,0.0004
MAXINE,79,0.000395
IRMA,79,0.000395
RAUL,79,0.000395
MABEL,78,0.00039
MARSHA,78,0.00039
MYRTLE,78,0.00039
BEN,78,0.00039
CHESTER,78,0.00039
CECIL,78,0.00039
LENA,77,0.000385
CHRISTY,77,0.000385
DUANE,77,0.000385
FRANKLIN,77,0.000385
DEANNA,76,0.00038
PATSY,76,0.00038
ANDRE,76,0.00038
HILDA,75,0.000375
GWENDOLYN,74,0.00037
ELMER,74,0.00037
JENNIE,73,0.000365
NORA,73,0.000365
BRAD,73,0.000365
GABRIEL,73,0.000365
MARGIE,72,0.00036
NINA,72,0.00036
CASSANDRA,72,0.00036
LEAH,72,0.00036
RON,72,0.00036
MITCHELL,72,0.00036
ROLAND,72,0.00036
ARNOLD,72,0.00036
HARVEY,72,0.00036
PENNY,71,0.000355
KAY,71,0.000355
PRISCILLA,71,0.000355
NAOMI,71,0.000355
CAROLE,71,0.000355
JARED,71,0.000355
BRANDY,70,0.00035
OLGA,70,0.00035
BILLIE,69,0.000345
DIANNE,69,0.000345
TRACEY,69,0.000345
LEONA,69,0.000345
ADRIAN,69,0.000345
KARL,69,0.000345
JENNY,68,0.00034
FELICIA,68,0.00034
SONIA,68,0.00034
CORY,68,0.00034
CLAUDE,68,0.00034
ERIK,68,0.00034
DARRYL,67,0.000335
MIRIAM,66,0.00033
VELMA,66,0.00033
BECKY,66,0.00033
JAMIE,66,0.00033
NEIL,66,0.00033
BOBBIE,65,0.000325
VIOLET,65,0.000325
KRISTINA,65,0.000325
JESSIE,65,0.000325
CHRISTIAN,65,0.000325
JAVIER,65,0.000325
FERNANDO,65,0.000325
CLINTON,65,0.000325
TONI,64,0.00032
TED,64,0.00032
MATHEW,64,0.00032
TYRONE,64,0.00032
DARREN,64,0.00032
LONNIE,64,0.00032
MISTY,63,0.000315
MAE,63,0.000315
LANCE,63,0.000315
CODY,63,0.000315
JULIO,63,0.000315
KELLY,63,0.000315
SHELLY,62,0.00031
DAISY,62,0.00031
RAMONA,62,0.00031
SHERRI,62,0.00031
KURT,62,0.00031
ERIKA,61,0.000305
KATRINA,61,0.000305
CLAIRE,61,0.000305
ALLAN,61,0.000305
NELSON,61,0.000305
LINDSEY,60,0.0003
LINDSAY,60,0.0003
GUY,60,0.0003
CLAYTON,60,0.0003
HUGH,60,0.0003
GENEVA,59,0.000295
GUADALUPE,59,0.000295
BELINDA,59,0.000295
MARGARITA,59,0.000295
SHERYL,59,0.000295
MAX,59,0.000295
DWAYNE,59,0.000295
CORA,58,0.00029
FAYE,58,0.00029
DWIGHT,58,0.00029
ARMANDO,58,0.00029
FELIX,58,0.00029
JIMMIE,58,0.00029
ADA,57,0.000285
NATASHA,57,0.000285
SABRINA,57,0.000285
ISABEL,57,0.000285
EVERETT,57,0.000285
MARGUERITE,56,0.00028
HATTIE,56,0.00028
HARRIET,56,0.00028
JORDAN,56,0.00028
IAN,56,0.00028
WALLACE,56,0.00028
MOLLY,55,0.000275
CECILIA,55,0.000275
KRISTI,55,0.000275
BRANDI,55,0.000275
BLANCHE,55,0.000275
SANDY,55,0.000275
ROSIE,55,0.000275
JOANNA,55,0.000275
IRIS,55,0.000275
KEN,55,0.000275
BOB,55,0.000275
JAIME,55,0.000275
EUNICE,54,0.00027
ANGIE,54,0.00027
CASEY,54,0.00027
ALFREDO,54,0.00027
INEZ,53,0.000265
LYNDA,53,0.000265
ALBERTO,53,0.000265
DAVE,53,0.000265
IVAN,53,0.000265
MADELINE,52,0.00026
AMELIA,52,0.00026
ALBERTA,52,0.00026
JOHNNIE,52,0.00026
SIDNEY,52,0.00026
BYRON,52,0.00026
JULIAN,52,0.00026
GENEVIEVE,51,0.000255
MONIQUE,51,0.000255
JODI,51,0.000255
JANIE,51,0.000255
MAGGIE,51,0.000255
KAYLA,51,0.000255
SONYA,51,0.000255
JAN,51,0.000255
LEE,51,0.000255
KRISTINE,51,0.000255
CANDACE,51,0.000255
ISAAC,51,0.000255
MORRIS,51,0.000255
FANNIE,50,0.00025
MARYANN,50,0.00025
OPAL,50,0.00025
ALISON,50,0.00025
YVETTE,50,0.00025
MELODY,50,0.00025
CLIFTON,50,0.00025
WILLARD,50,0.00025
DARYL,50,0.00025
ROSS,50,0.00025
LUZ,49,0.000245
SUSIE,49,0.000245
OLIVIA,49,0.000245
FLORA,49,0.000245
SHELLEY,49,0.000245
VIRGIL,49,0.000245
ANDY,49,0.000245
MARSHALL,49,0.000245
SALVADOR,49,0.000245
PERRY,49,0.000245
KIRK,49,0.000245
SERGIO,49,0.000245
KRISTY,48,0.00024
MAMIE,48,0.00024
LULA,48,0.00024
LOLA,48,0.00024
VERNA,48,0.00024
BEULAH,48,0.00024
ANTOINETTE,48,0.00024
MARION,48,0.00024
TRACY,48,0.00024
SETH,48,0.00024
KENT,48,0.00024
TERRANCE,48,0.00024
RENE,48,0.00024
EDUARDO,47,0.000235
TERRENCE,47,0.000235
CANDICE,46,0.00023
JUANA,46,0.00023
JEANNETTE,46,0.00023
PAM,46,0.00023
KELLI,46,0.00023
ENRIQUE,46,0.00023
FREDDIE,46,0.00023
HANNAH,45,0.000225
WHITNEY,45,0.000225
BRIDGET,45,0.000225
WADE,45,0.000225
KARLA,44,0.00022
CELIA,44,0.00022
AUSTIN,44,0.00022
STUART,44,0.00022
LATOYA,43,0.000215
PATTY,43,0.000215
SHELIA,43,0.000215
GAYLE,43,0.000215
DELLA,43,0.000215
VICKY,43,0.000215
LYNNE,43,0.000215
FREDRICK,43,0.000215
ARTURO,43,0.000215
ALEJANDRO,43,0.000215
JACKIE,43,0.000215
JOEY,43,0.000215
NICK,43,0.000215
LUTHER,43,0.000215
SHERI,42,0.00021
MARIANNE,42,0.00021
WENDELL,42,0.00021
JEREMIAH,42,0.00021
EVAN,42,0.00021
JULIUS,42,0.00021
DANA,42,0.00021
KARA,41,0.000205
JACQUELYN,41,0.000205
ERMA,41,0.000205
BLANCA,41,0.000205
DONNIE,41,0.000205
OTIS,41,0.000205
MYRA,40,0.0002
LETICIA,40,0.0002
PAT,40,0.0002
KRISTA,40,0.0002
ROXANNE,40,0.0002
SHANNON,40,0.0002
TREVOR,40,0.0002
OLIVER,40,0.0002
LUKE,40,0.0002
HOMER,40,0.0002
GERARD,40,0.0002
DOUG,40,0.0002
ANGELICA,39,0.000195
JOHNNIE,39,0.000195
ROBYN,39,0.000195
FRANCIS,39,0.000195
ADRIENNE,39,0.000195
ROSALIE,39,0.000195
ALEXANDRA,39,0.000195
BROOKE,39,0.000195
BETHANY,39,0.000195
SADIE,39,0.000195
BERNADETTE,39,0.000195
KENNY,39,0.000195
HUBERT,39,0.000195
ANGELO,39,0.000195
SHAUN,39,0.000195
TRACI,38,0.00019
JODY,38,0.00019
KENDRA,38,0.00019
JASMINE,38,0.00019
NICHOLE,38,0.00019
RACHAEL,38,0.00019
CHELSEA,38,0.00019
MABLE,38,0.00019
ERNESTINE,38,0.00019
MURIEL,38,0.00019
LYLE,38,0.00019
MATT,38,0.00019
LYNN,38,0.00019
ALFONSO,38,0.00019
MARCELLA,37,0.000185
ELENA,37,0.000185
KRYSTAL,37,0.000185
ANGELINA,37,0.000185
ORLANDO,37,0.000185
REX,37,0.000185
CARLTON,37,0.000185
ERNESTO,37,0.000185
CAMERON,37,0.000185
NEAL,37,0.000185
NADINE,36,0.00018
KARI,36,0.00018
ESTELLE,36,0.00018
DIANNA,36,0.00018
PAULETTE,36,0.00018
LORA,36,0.00018
PABLO,36,0.00018
LORENZO,36,0.00018
OMAR,36,0.00018
WILBUR,36,0.00018
BLAKE,36,0.00018
GRANT,36,0.00018
HORACE,36,0.00018
RODERICK,36,0.00018
KERRY,36,0.00018
MONA,35,0.000175
DOREEN,35,0.000175
ROSEMARIE,35,0.000175
ANGEL,35,0.000175
DESIREE,35,0.000175
ANTONIA,35,0.000175
ABRAHAM,35,0.000175
WILLIS,35,0.000175
RICKEY,35,0.000175
JEAN,35,0.000175
IRA,35,0.000175
HOPE,34,0.00017
GINGER,34,0.00017
JANIS,34,0.00017
BETSY,34,0.00017
CHRISTIE,34,0.00017
FREDA,34,0.00017
ANDRES,34,0.00017
CESAR,34,0.00017
JOHNATHAN,34,0.00017
MALCOLM,34,0.00017
RUDOLPH,34,0.00017
DAMON,34,0.00017
KELVIN,34,0.00017
RUDY,34,0.00017
PRESTON,34,0.00017
MERCEDES,33,0.000165
MEREDITH,33,0.000165
LYNETTE,33,0.000165
TERI,33,0.000165
CRISTINA,33,0.000165
EULA,33,0.000165
ALTON,33,0.000165
ARCHIE,33,0.000165
MARCO,33,0.000165
WM,33,0.000165
LEIGH,32,0.00016
MEGHAN,32,0.00016
SOPHIA,32,0.00016
ELOISE,32,0.00016
ROCHELLE,32,0.00016
GRETCHEN,32,0.00016
CECELIA,32,0.00016
PETE,32,0.00016
RANDOLPH,32,0.00016
GARRY,32,0.00016
GEOFFREY,32,0.00016
JONATHON,32,0.00016
FELIPE,32,0.00016
BENNIE,32,0.00016
GERARDO,32,0.00016
ED,32,0.00016
DOMINIC,32,0.00016
ROBIN,32,0.00016
LOREN,32,0.00016
RAQUEL,31,0.000155
HENRIETTA,31,0.000155
ALYSSA,31,0.000155
JANA,31,0.000155
KELLEY,31,0.000155
GWEN,31,0.000155
KERRY,31,0.000155
DELBERT,31,0.000155
COLIN,31,0.000155
GUILLERMO,31,0.000155
EARNEST,31,0.000155
LUCAS,31,0.000155
JENNA,30,0.00015
TRICIA,30,0.00015
LAVERNE,30,0.00015
OLIVE,30,0.00015
ALEXIS,30,0.00015
TASHA,30,0.00015
BENNY,30,0.00015
NOEL,30,0.00015
SPENCER,30,0.00015
RODOLFO,30,0.00015
MYRON,30,0.00015
EDMUND,30,0.00015
SILVIA,29,0.000145
ELVIRA,29,0.000145
CASEY,29,0.000145
DELIA,29,0.000145
SOPHIE,29,0.000145
KATE,29,0.000145
PATTI,29,0.000145
LORENA,29,0.000145
KELLIE,29,0.000145
SONJA,29,0.000145
LILA,29,0.000145
LANA,29,0.000145
DARLA,29,0.000145
MAY,29,0.000145
MINDY,29,0.000145
ESSIE,29,0.000145
MANDY,29,0.000145
GARRETT,29,0.000145
SALVATORE,29,0.000145
CEDRIC,29,0.000145
LOWELL,29,0.000145
GREGG,29,0.000145
LORENE,28,0.00014
ELSA,28,0.00014
JOSEFINA,28,0.00014
JEANNIE,28,0.00014
MIRANDA,28,0.00014
DIXIE,28,0.00014
LUCIA,28,0.00014
MARTA,28,0.00014
FAITH,28,0.00014
LELA,28,0.00014
JOHANNA,28,0.00014
SHARI,28,0.00014
CAMILLE,28,0.00014
SHERMAN,28,0.00014
WILSON,28,0.00014
DEVIN,28,0.00014
SYLVESTER,28,0.00014
KIM,28,0.00014
ROOSEVELT,28,0.00014
ISRAEL,28,0.00014
JERMAINE,28,0.00014
TAMI,27,0.000135
SHAWNA,27,0.000135
ELISA,27,0.000135
EBONY,27,0.000135
MELBA,27,0.000135
ORA,27,0.000135
NETTIE,27,0.000135
TABITHA,27,0.000135
OLLIE,27,0.000135
JAIME,27,0.000135
WINIFRED,27,0.000135
KRISTIE,27,0.000135
MARINA,27,0.000135
ALISHA,27,0.000135
AIMEE,27,0.000135
RENA,27,0.000135
FORREST,27,0.000135
WILBERT,27,0.000135
LELAND,27,0.000135
MYRNA,26,0.00013
MARLA,26,0.00013
TAMMIE,26,0.00013
LATASHA,26,0.00013
BONITA,26,0.00013
PATRICE,26,0.00013
RONDA,26,0.00013
SHERRIE,26,0.00013
ADDIE,26,0.00013
SIMON,26,0.00013
GUADALUPE,26,0.00013
CLARK,26,0.00013
IRVING,26,0.00013
CARROLL,26,0.00013
BRYANT,26,0.00013
OWEN,26,0.00013
FRANCINE,25,0.000125
DELORIS,25,0.000125
STACIE,25,0.000125
ADRIANA,25,0.000125
CHERI,25,0.000125
SHELBY,25,0.000125
ABIGAIL,25,0.000125
CELESTE,25,0.000125
JEWEL,25,0.000125
CARA,25,0.000125
ADELE,25,0.000125
REBEKAH,25,0.000125
LUCINDA,25,0.000125
DORTHY,25,0.000125
RUFUS,25,0.000125
WOODROW,25,0.000125
SAMMY,25,0.000125
KRISTOPHER,25,0.000125
MACK,25,0.000125
LEVI,25,0.000125
MARCOS,25,0.000125
GUSTAVO,25,0.000125
JAKE,25,0.000125
CHRIS,24,0.00012
EFFIE,24,0.00012
TRINA,24,0.00012
REBA,24,0.00012
SHAWN,24,0.00012
SALLIE,24,0.00012
AURORA,24,0.00012
LENORA,24,0.00012
ETTA,24,0.00012
LOTTIE,24,0.00012
KERRI,24,0.00012
TRISHA,24,0.00012
NIKKI,24,0.00012
ESTELLA,24,0.00012
FRANCISCA,24,0.00012
JOSIE,24,0.00012
TRACIE,24,0.00012
MARISSA,24,0.00012
KARIN,24,0.00012
BRITTNEY,24,0.00012
JANELLE,24,0.00012
LOURDES,24,0.00012
LAUREL,24,0.00012
HELENE,24,0.00012
FERN,24,0.00012
ELVA,24,0.00012
CORINNE,24,0.00012
KELSEY,24,0.00012
LIONEL,24,0.00012
MARTY,24,0.00012
TAYLOR,24,0.00012
ELLIS,24,0.00012
DALLAS,24,0.00012
GILBERTO,24,0.00012
CLINT,24,0.00012
NICOLAS,24,0.00012
LAURENCE,24,0.00012
ISMAEL,24,0.00012
ORVILLE,24,0.00012
DREW,24,0.00012
JODY,24,0.00012
INA,23,0.000115
BETTIE,23,0.000115
ELISABETH,23,0.000115
AIDA,23,0.000115
CAITLIN,23,0.000115
INGRID,23,0.000115
IVA,23,0.000115
EUGENIA,23,0.000115
CHRISTA,23,0.000115
GOLDIE,23,0.000115
CASSIE,23,0.000115
MAUDE,23,0.000115
JENIFER,23,0.000115
ERVIN,23,0.000115
DEWEY,23,0.000115
AL,23,0.000115
WILFRED,23,0.000115
JOSH,23,0.000115
HUGO,23,0.000115
IGNACIO,23,0.000115
CALEB,23,0.000115
TOMAS,23,0.000115
SHELDON,23,0.000115
ERICK,23,0.000115
FRANKIE,23,0.000115
THERESE,22,0.00011
FRANKIE,22,0.00011
DENA,22,0.00011
LORNA,22,0.00011
JANETTE,22,0.00011
LATONYA,22,0.00011
CANDY,22,0.00011
MORGAN,22,0.00011
CONSUELO,22,0.00011
TAMIKA,22,0.00011
ROSETTA,22,0.00011
DEBORA,22,0.00011
CHERIE,22,0.00011
POLLY,22,0.00011
DINA,22,0.00011
STEWART,22,0.00011
DOYLE,22,0.00011
DARREL,22,0.00011
ROGELIO,22,0.00011
TERENCE,22,0.00011
SANTIAGO,22,0.00011
ALONZO,22,0.00011
ELIAS,22,0.00011
BERT,22,0.00011
ELBERT,22,0.00011
RAMIRO,22,0.00011
CONRAD,22,0.00011
PAT,22,0.00011
NOAH,22,0.00011
JEWELL,21,0.000105
FAY,21,0.000105
JILLIAN,21,0.000105
DOROTHEA,21,0.000105
NELL,21,0.000105
TRUDY,21,0.000105
ESPERANZA,21,0.000105
PATRICA,21,0.000105
KIMBERLEY,21,0.000105
SHANNA,21,0.000105
HELENA,21,0.000105
CAROLINA,21,0.000105
CLEO,21,0.000105
STEFANIE,21,0.000105
GRADY,21,0.000105
PHIL,21,0.000105
CORNELIUS,21,0.000105
LAMAR,21,0.000105
ROLANDO,21,0.000105
CLAY,21,0.000105
PERCY,21,0.000105
DEXTER,21,0.000105
BRADFORD,21,0.000105
MERLE,21,0.000105
ROSARIO,20,0.0001
OLA,20,0.0001
JANINE,20,0.0001
MOLLIE,20,0.0001
LUPE,20,0.0001
ALISA,20,0.0001
LOU,20,0.0001
MARIBEL,20,0.0001
SUSANNE,20,0.0001
DARIN,20,0.0001
AMOS,20,0.0001
TERRELL,20,0.0001
MOSES,20,0.0001
IRVIN,20,0.0001
SAUL,20,0.0001
ROMAN,20,0.0001
DARNELL,20,0.0001
RANDAL,20,0.0001
TOMMIE,20,0.0001
BETTE,19,0.000095
SUSANA,19,0.000095
ELISE,19,0.000095
CECILE,19,0.000095
ISABELLE,19,0.000095
LESLEY,19,0.000095
JOCELYN,19,0.000095
